signal_name,source_file,source_series,currently_used,usage_location,purpose,output_impact,notes
"QQQ_MSS_core","marketflow/backend/scripts/build_risk_v1.py","ticker_history_daily.QQQ.close","Y","main MSS block; detect_event_type; compute_track_a equity_filter; compute_track_b_velocity","Core MSS input for trend, drawdown, MA state, and exposure logic","HIGH","Primary Standard-engine anchor; also generates realized-vol percentile and event-type classification"
"SPY_DIA_context","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.SPY.close; ohlcv_daily.DIA.close","Y","_struct_score; build_final_risk; build_context_history","Broad-market confirmation/moderation of Nasdaq signal","MED","Affects final_risk/final_exposure context; does not change total_risk total"
"Market_breadth_universe","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily universe close history -> pct_above_MA200 / pct_above_MA50 / pct_52w_low","Y","compute_breadth_metrics; _layer2_breadth; classify_risk_scenario","Participation and internal-weakness check","HIGH","Falls back to QQQ/SPY rotation if breadth query is unavailable"
"QQQ_SPY_relative_rotation","marketflow/backend/scripts/build_risk_v1.py","derived from QQQ close / SPY close","Y","_rotation_filter; build_final_risk; _layer2_breadth fallback; _layer8_shock","Tech-vs-broad-market rotation context","MED","Used for context/fallback and shock divergence; not a direct macro/rates signal"
"HYG_credit_proxy","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.HYG.close or cache.HYG","Y","_layer3_credit; _layer4_leveraged_loan; _layer5_liquidity; _layer6_funding; _layer9_cross_asset; compute_track_a","High-yield price stress proxy","HIGH","One of the most reused market-credit inputs in the Standard engine"
"LQD_credit_proxy","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.LQD.close or cache.LQD","Y","_layer3_credit; _layer5_liquidity","Investment-grade benchmark against HYG","MED","Mostly used as denominator/benchmark rather than as a standalone signal"
"HYG_LQD_relative_spread_proxy","marketflow/backend/scripts/build_risk_v1.py","derived HYG 20d return - LQD 20d return; HYG/LQD ratio trend","Y","_layer3_credit; _layer5_liquidity","ETF credit-spread / liquidity-preference proxy","HIGH","Core liquid-market credit proxy inside L3 and L5"
"Private_credit_manager_basket_BX_KKR_APO_ARES","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.BX.close; KKR.close; APO.close; ARES.close","Y","_layer3_credit","Private-credit transmission proxy","MED","Public-equity stand-in for alt-manager stress rather than direct credit spreads"
"Leveraged_loan_ETFs_BKLN_SRLN","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.BKLN.close; ohlcv_daily.SRLN.close","Y","_layer4_leveraged_loan","Direct leveraged-loan stress proxy","HIGH","ETF drawdown proxy; no direct loan-spread series used"
"BKLN_HYG_relative_loan_stress","marketflow/backend/scripts/build_risk_v1.py","derived BKLN/HYG relative return","Y","_layer4_leveraged_loan; compute_track_a; compute_track_a_early","Loan-market weakness vs HY","HIGH","Important early-transmission input in Layer 4 and Track A"
"BDC_basket_vs_SPY","marketflow/backend/scripts/build_risk_v1.py","derived mean(ARCC, OBDC, BXSL) / SPY","Y","compute_track_a; compute_track_a_early","Early private-credit weakening proxy","MED","Track-only input; changes Track A / master_signal, not total_risk total"
"XLF_XLU_defensive_rotation","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.XLF.close; ohlcv_daily.XLU.close; SPY benchmark","Y","_layer7_macro","Macro/defensive rotation proxy","HIGH","Main Standard macro proxy in place of direct macro-release series"
"XLF_KRE_financial_transmission","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.XLF.close; ohlcv_daily.KRE.close; SPY benchmark","Y","_layer12_financial_stress; compute_track_a_early","Bank/broker transmission proxy","HIGH","Models financial propagation through equities, not bank funding spreads"
"IWM_SPY_risk_appetite","marketflow/backend/scripts/build_risk_v1.py","derived IWM/SPY relative return","Y","_layer9_cross_asset; classify_risk_scenario","Small-cap risk-appetite proxy","LOW","Secondary confirmation only"
"VIX_implied_vol_family","marketflow/backend/scripts/build_risk_v1.py","cache.VIX or market_daily.vix","Y","_layer5_liquidity; _layer6_funding; _layer8_shock; _layer11_liquidity_shock; compute_track_c","Primary implied-vol / fear input","HIGH","Standard uses VIX only; broader vol-family term structure is not implemented"
"PUT_CALL_ratio","marketflow/backend/scripts/build_risk_v1.py","cache.PUT_CALL","Y","_layer6_funding; _layer8_shock; _layer10_credit_spread; compute_master_signal escalation conditions","Hedging-demand / funding-friction proxy","HIGH","Collector can proxy PUT_CALL from VIX if direct CBOE series fails"
"DXY_dollar_liquidity_stress","marketflow/backend/scripts/build_risk_v1.py","cache.DXY with market_daily.dxy fallback","Y","_load_preferred_series; _layer5_liquidity; _layer11_liquidity_shock","Dollar liquidity drain / global tightening proxy","HIGH","This is the explicit dollar-stress input; current live output uses market_daily fallback"
"Credit_spreads_HY_OAS_IG_OAS","marketflow/backend/scripts/build_risk_v1.py","cache.HY_OAS (BAMLH0A0HYM2); cache.IG_OAS (BAMLC0A0CM)","Y","_layer10_credit_spread; compute_track_a","Direct cash credit-spread monitor","HIGH","HY_OAS is more influential than IG_OAS; both also feed Track A"
"HY_IG_OAS_spread","marketflow/backend/scripts/build_risk_v1.py","derived HY_OAS - IG_OAS","Y","_layer10_credit_spread","Credit risk-premium widening","HIGH","Explicit spread signal, but it is credit spread logic rather than Treasury curve logic"
"FSI_st_louis_financial_stress","marketflow/backend/scripts/build_risk_v1.py","cache.FSI (STLFSI4)","Y","_layer10_credit_spread","Weekly system-wide stress overlay","MED","Weekly cadence makes it slower than ETF/VIX inputs"
"MOVE_TLT_bond_stress_proxies","marketflow/backend/scripts/build_risk_v1.py; marketflow/backend/scripts/build_replay_v1.py","market_daily.move; ohlcv_daily.TLT.close","Y","_layer11_liquidity_shock","Rate-volatility / bond-stress proxy","MED","Only live bond-stress block; live build uses market_daily.move while replay loads cache.MOVE"
"USDJPY_yen_carry_unwind","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.JPY=X.close","Y","compute_track_c","Exogenous yen-carry shock sensor","MED","Track C only; changes Track C state and master_signal, not total_risk total"
"Oil_energy_shock","marketflow/backend/scripts/build_risk_v1.py","market_daily.oil","Y","compute_track_c","Energy/geopolitical shock sensor","MED","Present only as 1-day z-score in Track C; not integrated into 12-layer total_risk"
"GLD_safe_haven_vs_SPY","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.GLD.close vs SPY close","Y","compute_track_c","Flight-to-safety confirmation","MED","Track C only"
"EFFR_WALCL_RRP_macro_liquidity","marketflow/backend/validation_engine.py; marketflow/backend/config/macro_policy_v1.json; marketflow/backend/jobs/build_macro_snapshot.py","FRED EFFR; WALCL; RRPONTSYD","N","ValidationEngine.compute_macro_series; macro snapshot only; not wired to build_risk_v1.py","Separate validation/macro-engine inputs for RPI/LPI/MPS","NONE","Present elsewhere in repo, but they do not move Standard Risk Engine outputs today"
"US10Y","marketflow/backend/scripts/update_market_daily.py; marketflow/backend/collectors/collect_fred.py; marketflow/backend/jobs/build_macro_snapshot.py","market_daily.us10y / FRED DGS10","N","not wired to build_risk_v1.py","Available rates data outside Standard engine","NONE","Clear gap: no 10Y level/change/momentum logic in Standard"
"US2Y","marketflow/backend/scripts/update_market_daily.py; marketflow/backend/collectors/collect_fred.py; marketflow/backend/jobs/build_macro_snapshot.py","market_daily.us2y / FRED DGS2","N","not wired to build_risk_v1.py","Available rates data outside Standard engine","NONE","Clear gap: no 2Y input in Standard"
"Yield_curve_10Y_2Y","marketflow/backend/jobs/build_macro_snapshot.py","DGS10 - DGS2 (fallback DGS10 - EFFR)","N","macro snapshot only; not wired to build_risk_v1.py","Macro yield-curve measure outside Standard engine","NONE","Treasury curve logic is absent from Standard even though the repo computes it elsewhere"
"CPI_release_handling","marketflow/backend/jobs/build_macro_snapshot.py; marketflow/backend/config/macro_policy_v1.json","FRED CPIAUCSL","N","macro snapshot real-rate proxy only; no build_risk_v1 consumer","Inflation series exists outside Standard only","NONE","No CPI release-date/event handling or direct Standard-engine wiring found"
"PPI_release_handling","not_found_in_standard_or_macro_pipeline","none","N","not found","Not implemented","NONE","No PPI series, threshold, or release logic found in searched Standard/macro backend paths"
"Jobless_claims_release_handling","not_found_in_standard_or_macro_pipeline","none","N","not found","Not implemented","NONE","No jobless claims / labor-release logic found in searched Standard/macro backend paths"
